genes	variable	value
Mir-10-P2d	Human_Jejunum	11.3086752224274
Mir-1-P1	Human_Illeum	4.41608751421942
Mir-1-P3	Human_Illeum	4.16517516518243
Mir-133-P1-v1	Human_Illeum	6.15294550906507
Mir-133-P3-v1	Human_Illeum	6.68378426111985
Mir-9-P1	Human_Illeum	4.12813697819055
Mir-9-P2	Human_Illeum	4.31580156592896
Mir-124-P1-v2	Human_Illeum	0.198260836476184
Mir-184	Human_Illeum	0.925984036247514
Mir-1-P2	Human_Illeum	0
Mir-10-P1c-v1	Human_Illeum	15.5666557541234
Mir-10-P1c-v2	Human_Illeum	15.7945207913939
Let-7-P2b2	Human_Illeum	12.7591911295038
Let-7-P2c2	Human_Illeum	12.6139870653511
Mir-92-P1a	Human_Illeum	12.0428374590369
Let-7-P2a1	Human_Illeum	11.0643050619425
Let-7-P2b1	Human_Illeum	12.9885507591409
Let-7-P2a2	Human_Illeum	12.9618021311893
Mir-10-P3b	Human_Illeum	13.3285012733687
Mir-181-P1a	Human_Illeum	11.9465183517146
Mir-181-P1b	Human_Illeum	13.5996176979542
Mir-22-P1b	Human_Illeum	16.1749774203224
Mir-27-P2	Human_Illeum	16.4464286421959
Mir-143	Human_Illeum	18.8853533339677
Mir-10-P2c	Human_Illeum	8.96782271340398
Mir-10-P3c	Human_Illeum	9.82550329311379
Mir-10-P3d	Human_Illeum	8.93182951553463
Let-7-P1d	Human_Illeum	10.5444198662415
Mir-101-P1-v2	Human_Illeum	10.3142602186186
Mir-24-P2	Human_Illeum	8.13415277970341
Mir-10-P2d	Human_Illeum	11.1780907284236
Mir-1-P1	Human_Stomach	4.25810750649757
Mir-1-P3	Human_Stomach	5.45739461017189
Mir-133-P1-v1	Human_Stomach	6.82965717013458
Mir-133-P3-v1	Human_Stomach	6.52414866839474
Mir-9-P1	Human_Stomach	3.05185174692395
Mir-9-P2	Human_Stomach	3.29591652871693
Mir-124-P1-v2	Human_Stomach	0
Mir-184	Human_Stomach	0
Mir-1-P2	Human_Stomach	0
Mir-10-P1c-v1	Human_Stomach	14.7834499369066
Mir-10-P1c-v2	Human_Stomach	15.3828029292144
Let-7-P2b2	Human_Stomach	12.7222765785888
Let-7-P2c2	Human_Stomach	12.2476434976343
Mir-92-P1a	Human_Stomach	11.9170132915821
Let-7-P2a1	Human_Stomach	12.2718939859081
Let-7-P2b1	Human_Stomach	13.1269424580806
Let-7-P2a2	Human_Stomach	12.8087676503817
Mir-10-P3b	Human_Stomach	13.5682582686052
Mir-181-P1a	Human_Stomach	10.6574793907531
Mir-181-P1b	Human_Stomach	12.6663929913488
Mir-22-P1b	Human_Stomach	16.6174318214833
Mir-27-P2	Human_Stomach	16.0304042713361
Mir-143	Human_Stomach	18.4784559273626
Mir-10-P2c	Human_Stomach	9.77643609062251
Mir-10-P3c	Human_Stomach	10.5686237175416
Mir-10-P3d	Human_Stomach	8.68100027035272
Let-7-P1d	Human_Stomach	11.0527492405349
Mir-101-P1-v2	Human_Stomach	10.0912577322723
Mir-24-P2	Human_Stomach	8.62224963387136
Mir-10-P2d	Human_Stomach	11.6311397513514
