genes	variable	value
MACF1	Human_Skin	13.3571758621633
GLUL	Human_Skin	11.9630467490395
AHNAK	Human_Skin	16.240691168903
MYH9	Human_Skin	13.4750960423314
UBC	Human_Skin	13.8453588921851
HSP90AB1	Human_Skin	13.4988340617422
C5H4orf54	Human_BMarrow	0
MYH1	Human_BMarrow	0
KLHL40	Human_BMarrow	0
MYH6	Human_BMarrow	0
ANKRD1	Human_BMarrow	0.596076108733806
XIRP1	Human_BMarrow	1.73507644805472
NRAP	Human_BMarrow	0.228709610459003
CKM	Human_BMarrow	2.99196095783209
ACTA1	Human_BMarrow	2.05441381848182
TRIM63	Human_BMarrow	0.183449673900256
TNNT1	Human_BMarrow	3.92458247135783
XIRP2	Human_BMarrow	1.73776211135908
MYO18B	Human_BMarrow	4.8240438432645
TNNC1	Human_BMarrow	2.09024090167216
ACTN2	Human_BMarrow	1.83277486911622
FLNC	Human_BMarrow	0.678689718108408
DES	Human_BMarrow	4.97402230173331
NEB	Human_BMarrow	6.02418390252161
TTN	Human_BMarrow	10.907600714079
OBSCN	Human_BMarrow	8.44936918560883
TPM2	Human_BMarrow	7.53644392949719
MYH10	Human_BMarrow	10.5436367106094
PLEC	Human_BMarrow	12.4687253614473
SYNE2	Human_BMarrow	10.5336063326791
MACF1	Human_BMarrow	12.4438115541493
GLUL	Human_BMarrow	14.4523847023451
AHNAK	Human_BMarrow	13.0682490344849
MYH9	Human_BMarrow	14.489388044814
UBC	Human_BMarrow	15.356465396151
HSP90AB1	Human_BMarrow	13.7600857888837
C5H4orf54	Human_Liver	0
MYH1	Human_Liver	0
KLHL40	Human_Liver	0
MYH6	Human_Liver	0
ANKRD1	Human_Liver	4.79570638777392
XIRP1	Human_Liver	3.33310880426489
NRAP	Human_Liver	6.9750185835754
CKM	Human_Liver	1.77280267372146
ACTA1	Human_Liver	2.13077047847938
TRIM63	Human_Liver	0.421918924345304
TNNT1	Human_Liver	1.2127227610421
XIRP2	Human_Liver	1.51252251160091
MYO18B	Human_Liver	1.13155815262428
TNNC1	Human_Liver	2.81989106237382
ACTN2	Human_Liver	3.69282023396377
FLNC	Human_Liver	5.89409832998373
DES	Human_Liver	4.47476208387529
NEB	Human_Liver	7.16221389598619
TTN	Human_Liver	7.13942662162222
OBSCN	Human_Liver	6.04070503553033
TPM2	Human_Liver	7.86082282949486
MYH10	Human_Liver	11.326663273002
PLEC	Human_Liver	10.1725932994793
SYNE2	Human_Liver	11.1865738109913
MACF1	Human_Liver	12.3005613246167
GLUL	Human_Liver	14.0744726285033
AHNAK	Human_Liver	14.341245606124
MYH9	Human_Liver	13.6610304693123
UBC	Human_Liver	14.8319562255806
HSP90AB1	Human_Liver	13.7721910973972
C5H4orf54	Human_Thyroid	0
MYH1	Human_Thyroid	0.111798737621522
KLHL40	Human_Thyroid	0
MYH6	Human_Thyroid	0.573358387904458
ANKRD1	Human_Thyroid	4.2004466271834
XIRP1	Human_Thyroid	2.01612652925761
NRAP	Human_Thyroid	2.22290454582191
CKM	Human_Thyroid	1.61027209533926
ACTA1	Human_Thyroid	3.29674809704806
TRIM63	Human_Thyroid	3.06705207250397
TNNT1	Human_Thyroid	0.305204884241271
XIRP2	Human_Thyroid	1.45659403418547
MYO18B	Human_Thyroid	0.434884222059449
TNNC1	Human_Thyroid	4.63736693306303
ACTN2	Human_Thyroid	4.05621521575903
FLNC	Human_Thyroid	6.23945368534206
DES	Human_Thyroid	7.31316407527752
NEB	Human_Thyroid	9.12938244726221
TTN	Human_Thyroid	8.47073347879107
OBSCN	Human_Thyroid	9.48580581026344
TPM2	Human_Thyroid	8.79726926870388
MYH10	Human_Thyroid	10.580349686863
PLEC	Human_Thyroid	10.0074037991099
SYNE2	Human_Thyroid	12.2637835541795
MACF1	Human_Thyroid	12.7683357444308
GLUL	Human_Thyroid	14.1169867209662
AHNAK	Human_Thyroid	13.2062353201266
MYH9	Human_Thyroid	13.1669975410532
UBC	Human_Thyroid	13.8168237300966
HSP90AB1	Human_Thyroid	14.0040204476494
C5H4orf54	Human_Lymph	0
MYH1	Human_Lymph	0.887225647263462
KLHL40	Human_Lymph	0
MYH6	Human_Lymph	0.797251225243269
ANKRD1	Human_Lymph	4.51857465379245
XIRP1	Human_Lymph	0.808582759305254
NRAP	Human_Lymph	1.28047354986729
CKM	Human_Lymph	2.36669524647885
ACTA1	Human_Lymph	2.88991684959472
TRIM63	Human_Lymph	0.541755429523841
TNNT1	Human_Lymph	0.474631766646592
XIRP2	Human_Lymph	1.20677065997065
MYO18B	Human_Lymph	3.61443679788088
TNNC1	Human_Lymph	3.714863317256
ACTN2	Human_Lymph	3.27484395833519
FLNC	Human_Lymph	5.92091032932051
DES	Human_Lymph	7.24876110984533
NEB	Human_Lymph	5.87526469360573
TTN	Human_Lymph	9.04856856513361
OBSCN	Human_Lymph	8.9775740537254
TPM2	Human_Lymph	9.48760368424476
MYH10	Human_Lymph	9.49504812311572
PLEC	Human_Lymph	11.3849329766886
SYNE2	Human_Lymph	11.6384951547782
MACF1	Human_Lymph	12.2718117376515
GLUL	Human_Lymph	12.5071384252095
AHNAK	Human_Lymph	13.0905097682614
MYH9	Human_Lymph	14.013663841238
UBC	Human_Lymph	13.69542898861
HSP90AB1	Human_Lymph	13.7351152117289
